huc12_id,ifi_measure_Flood,ifi_fp_AreaKM2,konrad_fp_area,k_totalCells,k_sum,k_percentArea,floodPlainAreaRatio,cell_In_IFI_FP
171100050705,0.9897547,0.3944777,0.2034,2034,424,0.20845624385447395,1.9394183874139626,TRUE
171100050706,0.732944,0.5806537,0.618,6180,3685,0.5962783171521036,0.9395690938511327,TRUE
171100050707,0.7461399,1.128135,1.8522,18522,8270,0.4464960587409567,0.6090783932620668,TRUE
171100050708,0.5662477,1.580891,2.6055,26055,2707,0.1038956054500096,0.6067514872385339,TRUE
171100050801,0.7739082,0.3786839,0.46890000000000004,4689,1271,0.2710599274898699,0.8076005544892301,TRUE
171100050802,0.7786933,0.5236961,0.8501000000000001,8501,3859,0.45394659451829195,0.6160405834607693,TRUE
171100050803,0.9615944,0.468752,0.4181,4181,1483,0.3546998325759388,1.1211480507055727,TRUE
171100050804,0.8885904,2.948754,4.207,42070,21736,0.5166627050154504,0.7009160922272404,TRUE
171100050805,0.6756398,3.600688,5.9333,59333,24907,0.41978325720931015,0.6068609374209967,TRUE
171100050901,0.9136095,2.896976,5.8246,58246,32940,0.5655323970744772,0.4973690897228994,TRUE
171100050902,0.9666694,0.2273531,0.0029000000000000002,29,5,0.1724137931034483,78.39762068965517,TRUE
171100050903,0.7091187,1.605758,1.7604000000000002,17604,9009,0.5117586912065439,0.9121551920018177,TRUE
171100190601,0.9919605,0.1062691,0,0,NA,NA,Inf,FALSE
171100190503,0.7298602,0.06136253,0,0,NA,NA,Inf,FALSE
171100190602,0.885341,1.291964,0,0,NA,NA,Inf,FALSE
171100190605,0.25,11.4988,0,0,NA,NA,Inf,FALSE
171100190607,0.5401271,2.079673,0,0,NA,NA,Inf,FALSE
171100190608,1,0.00349136,0,0,NA,NA,Inf,FALSE
171100190609,0.6523207,1.199766,0,0,NA,NA,Inf,FALSE
171100190610,0.9004233,0.597614,0,0,NA,NA,Inf,FALSE
171100190701,0.6747505,0.4938347,0,0,NA,NA,Inf,FALSE
171100051001,0.9114236,0.763162,0.7211000000000001,7211,3560,0.4936901955345999,1.0583303286645402,TRUE
171100040102,0.9295435,1.939159,3.7891000000000004,37891,12048,0.31796468818452933,0.5117729803911218,TRUE
171100050904,0.9664101,1.448754,1.9087,19087,9734,0.5099806150783256,0.7590265625818621,TRUE
171100050905,0.7472838,3.882874,9.2987,92987,29425,0.31644208330196694,0.417571703571467,TRUE
171100051002,0.7727328,2.718106,4.9657,49657,33924,0.6831665223432749,0.5473762007370563,TRUE
171100190803,1,0.01147896,0,0,NA,NA,Inf,FALSE
171100190801,0.6433863,0.2439749,0,0,NA,NA,Inf,FALSE
171100190802,0.8523376,2.241865,0,0,NA,NA,Inf,FALSE
171100191000,0.7468782,0.6193503,0,0,NA,NA,Inf,FALSE
171100200101,0.7551505,1.290716,0,0,NA,NA,Inf,FALSE
171100200103,0.9998664,0.005620029,0,0,NA,NA,Inf,FALSE
171100060104,0.7486178,0.6885584,0.7089000000000001,7089,1947,0.2746508675412611,0.9713054027366341,TRUE
171100051003,0.9549128,0.6038198,1.1119,11119,5098,0.4584944689270618,0.5430522529004407,TRUE
171100051004,0.9028206,0.5248969,0.5668000000000001,5668,1538,0.27134791813690895,0.92607074805928,TRUE
171100051005,0.8460783,3.40858,0,0,NA,NA,Inf,FALSE
171100051006,0.9761631,0.6322048,0,0,NA,NA,Inf,FALSE
171100051101,0.8519372,4.763382,10.937000000000001,109370,33203,0.30358416384749015,0.4355291213312608,TRUE
171100051102,0.8229977,1.760364,2.0291,20291,12261,0.6042580454388645,0.8675590163126509,TRUE
171100051103,0.7197649,1.083007,1.0085,10085,3295,0.3267228557263262,1.0738790282597919,TRUE
171100051104,0.559942,26.13489,34.6604,346604,232976,0.6721676610771947,0.7540273626386307,TRUE
171100060101,0.9950354,1.170327,1.8288,18288,5265,0.28789370078740156,0.6399425853018372,TRUE
171100060102,0.9588079,2.959475,4.1814,41814,20730,0.49576696800114795,0.7077713206103219,TRUE
171100060103,0.898763,2.266362,1.7017,17017,6855,0.40283246165599107,1.3318222953517072,TRUE
171100200203,0.7437344,0.09290589,0,0,NA,NA,Inf,FALSE
171100200201,0.689004,0.3184858,0,0,NA,NA,Inf,FALSE
171100200202,0.7451162,0.04834994,0,0,NA,NA,Inf,FALSE
171100200204,0.4680863,6.910919,24.9453,249453,48,1.924210171856021e-4,0.27704292993068835,TRUE
171100200301,0.9351005,1.199135,0.5947,5947,3091,0.5197578611064402,2.0163695981166976,TRUE
171100060202,0.7479548,0.4656588,0.6392,6392,3318,0.5190863579474343,0.7285025031289111,TRUE
171100060401,0.8111056,2.890593,3.0454000000000003,30454,16265,0.5340841925527025,0.9491669403034083,TRUE
